"storeNum";"Year";"Week";"Date";"Weekind";"p1sales";"p2sales";"p1price";"p2price";"p1prom";"p2prom";"compind";"storesize";"city";"citysize"
"101";2023;1;2023-01-02;1;359;436;2.79;2.59;0;0;-0.052;133;"OSLO";580000
"101";2023;2;2023-01-09;2;367;439;2.49;2.59;0;0;-0.052;133;"OSLO";580000
"101";2023;3;2023-01-16;3;360;435;2.19;2.59;0;0;-0.052;133;"OSLO";580000
"101";2023;4;2023-01-23;4;364;531;2.99;2.49;0;1;-0.052;133;"OSLO";580000
"101";2023;5;2023-01-30;5;360;439;2.49;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;6;2023-02-06;6;364;435;2.19;3.19;0;0;-0.052;133;"OSLO";580000
"101";2023;7;2023-02-13;7;362;525;2.99;2.59;0;1;-0.052;133;"OSLO";580000
"101";2023;8;2023-02-20;8;405;431;2.29;3.19;1;0;-0.052;133;"OSLO";580000
"101";2023;9;2023-02-27;9;364;442;2.99;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;10;2023-03-06;10;359;438;2.29;2.49;0;0;-0.052;133;"OSLO";580000
"101";2023;11;2023-03-13;11;365;438;2.49;3.19;0;0;-0.052;133;"OSLO";580000
"101";2023;12;2023-03-20;12;367;439;2.19;2.49;0;0;-0.052;133;"OSLO";580000
"101";2023;13;2023-03-27;13;390;441;2.99;2.29;1;0;-0.052;133;"OSLO";580000
"101";2023;14;2023-04-03;14;361;435;2.79;3.19;0;0;-0.052;133;"OSLO";580000
"101";2023;15;2023-04-10;15;365;441;2.99;2.49;0;0;-0.052;133;"OSLO";580000
"101";2023;16;2023-04-17;16;356;437;2.49;2.99;0;0;-0.052;133;"OSLO";580000
"101";2023;17;2023-04-24;17;356;529;2.79;2.29;0;1;-0.052;133;"OSLO";580000
"101";2023;18;2023-05-01;18;363;437;2.19;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;19;2023-05-08;19;393;435;2.99;3.19;1;0;-0.052;133;"OSLO";580000
"101";2023;20;2023-05-15;20;360;445;2.79;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;21;2023-05-22;21;354;442;2.49;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;22;2023-05-29;22;400;521;2.19;2.49;1;1;-0.052;133;"OSLO";580000
"101";2023;23;2023-06-05;23;398;437;2.49;2.59;1;0;-0.052;133;"OSLO";580000
"101";2023;24;2023-06-12;24;361;525;2.79;3.19;0;1;-0.052;133;"OSLO";580000
"101";2023;25;2023-06-19;25;362;439;2.19;2.59;0;0;-0.052;133;"OSLO";580000
"101";2023;26;2023-06-26;26;361;439;2.79;2.49;0;0;-0.052;133;"OSLO";580000
"101";2023;27;2023-07-03;27;363;440;2.99;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;28;2023-07-10;28;403;433;2.19;2.49;1;0;-0.052;133;"OSLO";580000
"101";2023;29;2023-07-17;29;359;441;2.49;2.99;0;0;-0.052;133;"OSLO";580000
"101";2023;30;2023-07-24;30;399;435;2.49;3.19;1;0;-0.052;133;"OSLO";580000
"101";2023;31;2023-07-31;31;359;436;2.49;2.99;0;0;-0.052;133;"OSLO";580000
"101";2023;32;2023-08-07;32;361;437;2.49;3.19;0;0;-0.052;133;"OSLO";580000
"101";2023;33;2023-08-14;33;356;439;2.49;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;34;2023-08-21;34;364;439;2.19;3.19;0;0;-0.052;133;"OSLO";580000
"101";2023;35;2023-08-28;35;359;433;2.19;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;36;2023-09-04;36;393;438;2.29;2.29;1;0;-0.052;133;"OSLO";580000
"101";2023;37;2023-09-11;37;389;526;2.79;2.59;1;1;-0.052;133;"OSLO";580000
"101";2023;38;2023-09-18;38;360;430;2.19;2.99;0;0;-0.052;133;"OSLO";580000
"101";2023;39;2023-09-25;39;393;434;2.49;2.99;1;0;-0.052;133;"OSLO";580000
"101";2023;40;2023-10-02;40;356;440;2.99;2.59;0;0;-0.052;133;"OSLO";580000
"101";2023;41;2023-10-09;41;360;438;2.99;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;42;2023-10-16;42;362;527;2.29;2.59;0;1;-0.052;133;"OSLO";580000
"101";2023;43;2023-10-23;43;359;430;2.49;3.19;0;0;-0.052;133;"OSLO";580000
"101";2023;44;2023-10-30;44;358;441;2.99;2.29;0;0;-0.052;133;"OSLO";580000
"101";2023;45;2023-11-06;45;361;436;2.99;2.99;0;0;-0.052;133;"OSLO";580000
"101";2023;46;2023-11-13;46;364;436;2.99;2.99;0;0;-0.052;133;"OSLO";580000
"101";2023;47;2023-11-20;47;402;434;2.29;2.99;1;0;-0.052;133;"OSLO";580000
"101";2023;48;2023-11-27;48;364;436;2.19;2.59;0;0;-0.052;133;"OSLO";580000
"101";2023;49;2023-12-04;49;394;528;2.99;3.19;1;1;-0.052;133;"OSLO";580000
"101";2023;50;2023-12-11;50;358;439;2.49;2.59;0;0;-0.052;133;"OSLO";580000
"101";2023;51;2023-12-18;51;366;432;2.19;3.19;0;0;-0.052;133;"OSLO";580000
"101";2023;52;2023-12-25;52;357;434;2.99;2.59;0;0;-0.052;133;"OSLO";580000
"101";2024;1;2024-01-08;53;357;438;2.79;2.59;0;0;-0.052;133;"OSLO";580000
"101";2024;2;2024-01-15;54;357;437;2.19;2.49;0;0;-0.052;133;"OSLO";580000
"101";2024;3;2024-01-22;55;354;437;2.99;2.99;0;0;-0.052;133;"OSLO";580000
"101";2024;4;2024-01-29;56;361;439;2.79;2.99;0;0;-0.052;133;"OSLO";580000
"101";2024;5;2024-02-05;57;393;437;2.49;2.29;1;0;-0.052;133;"OSLO";580000
